latitude,longitude
40.4146559767931,-3.703991087169288
40.41643759999999,-3.709046
40.42964502954501,-3.71872731062044
40.42712,-3.62127
40.40923050000001,-3.7077152
40.45954,-3.69839
40.4591537818464,-3.697835142475066
40.426545809221615,-3.678050874045683
40.42849,-3.70194
40.42892,-3.67359
40.4256,-3.71564
40.42589432924786,-3.695396255623248
40.425904205044326,-3.6776142290375864
40.42602979999999,-3.6803296
40.42336780847207,-3.710251450538636
40.41645648186649,-3.694300505799585
40.39639,-3.71448
40.43134072481595,-3.698132563338415
40.39927,-3.64051
40.46667771951909,-3.7210882116394095
40.41335846255089,-3.7093429680074497
40.37172,-3.68765
40.4243952,-3.6562776
40.39074,-3.66336
40.47572,-3.57438
40.44217,-3.70057
40.424118,-3.696657
40.388364178378865,-3.73531736433506
40.40931,-3.71027
40.40264,-3.70764
40.42477926509412,-3.697628781059404
40.417989998174974,-3.702597431838512
40.3914,-3.66425
40.40818257739293,-3.698519250374999
40.434821179391534,-3.717503912806567
40.43281,-3.65449
40.418310920554056,-3.6751616116824897
40.39407788141012,-3.7371098778674336
40.40299903527739,-3.6916486610796966
40.39035,-3.74111
40.41769022857082,-3.701534376223587
40.40430084138649,-3.662914467498699
40.4139166,-3.698195199999999
40.39467,-3.6953098
40.4226362860699,-3.697816394269466
40.41368,-3.70943
40.39442,-3.66681
40.44164,-3.69973
40.43437548029829,-3.697798143568415
40.40107819537225,-3.671933633654636
40.4379,-3.70871
40.43369879999999,-3.6722668
40.40164,-3.6998
40.4078,-3.70085
40.37835,-3.60493
40.51453,-3.67732
40.4729446,-3.6420975
40.43862471317834,-3.6474893510808815
40.36654,-3.59959
40.409313205685336,-3.712808769032312
40.42321,-3.63703
40.35576215492764,-3.6975048750579975
40.44496,-3.58995
40.38195314338218,-3.712009416676679
40.48631,-3.64927
40.4576,-3.58891
40.4405337,-3.6071209
40.35451408848951,-3.697198833869599
40.43262,-3.64766
40.44063,-3.64111
40.421041701844814,-3.6870678310978375
40.43597,-3.65091
40.42964283661808,-3.6943151026682055
40.46024,-3.67275
40.49812,-3.62324
40.42499,-3.67351
40.45642,-3.67658
40.47542015721471,-3.666364330867492
40.4165384,-3.7007342
40.37879,-3.72969
40.47273,-3.58169
40.40751114714885,-3.701682320290375
40.34993,-3.70594
40.42696,-3.71502
40.46509,-3.6974
40.38475,-3.72774
40.51104,-3.69231
40.4740721,-3.7221468
40.43274199697231,-3.609649281506877
40.44528,-3.62616
40.438103583313,-3.644387908217943
40.43815000552187,-3.6894013043238583
40.43363571558219,-3.6827916924369184
40.349789725856674,-3.685511802663879
40.454536156516085,-3.6977925937088534
40.405918084851635,-3.679551749695891
40.43036672450658,-3.711698639441347
40.40543,-3.68396
40.36907313773203,-3.708742505188963
40.40127013347943,-3.698374377029644
40.47384,-3.71547
40.396601600225594,-3.745108102538036
40.38157,-3.71294
40.461426394667235,-3.7226010113954544
40.411816776475064,-3.700193780442144
40.377755136091146,-3.742228443138599
40.38159,-3.74224
40.41339,-3.6936
40.466694044160995,-3.721002380950933
40.44018491675016,-3.611753624926316
40.46278887259453,-3.6892578401580542
40.3907666,-3.7380412
40.39686424165879,-3.7325676419028446
40.44964,-3.57672
40.47075,-3.67855
40.4095942273658,-3.700259159176998
40.41111,-3.70718
40.42601,-3.70098
40.41978116312141,-3.69903049798279
40.45961291758832,-3.6902096495032306
40.41312,-3.7052
40.418652178533456,-3.70817430012772
40.43228,-3.6541
40.42456,-3.70491
40.42632,-3.60444
40.38044,-3.70635
40.4666406,-3.7040696
40.42249,-3.69884
40.38783,-3.65502
40.43808,-3.64361
40.45257,-3.70645
40.42398,-3.69928
40.49064,-3.69285
40.45547,-3.7062
40.42814239480578,-3.6102813825129183
40.41748,-3.70246
40.429553717127526,-3.6976435836989294
40.420299703510544,-3.697467946905633
40.41268157958984,-3.6956748962402344
40.39485,-3.69933
40.42388,-3.70098
40.46425,-3.74852
40.41916,-3.70293
40.42597,-3.70152
40.41288,-3.70159
40.41369890812573,-3.696049548698327
40.42406357171225,-3.699968196451664
40.49483,-3.68965
40.34027,-3.68772
40.37193,-3.75665
40.43866,-3.67182
40.40819,-3.70775
40.34059,-3.69097
40.40192,-3.64098
40.36548,-3.76067
40.39035,-3.73737
40.37775,-3.75317
40.42479,-3.70376
40.40294,-3.72018
40.39663,-3.69483
40.42308,-3.67911
40.42499,-3.68568
40.44342,-3.67434
40.4057,-3.67605
40.42775,-3.70586
40.42787,-3.69966
40.40092,-3.69525
40.40353,-3.69133
40.40647,-3.67255
40.37983,-3.70347
40.46465,-3.7482
40.42442,-3.69689
40.40913,-3.70494
40.44282,-3.68077
40.47804389005208,-3.697784209510544
40.42227,-3.70006
40.3797,-3.71276
40.38199,-3.70725
40.41216,-3.69904
40.4264069,-3.7117032
40.42088,-3.71065
40.42493,-3.70283
40.4120001,-3.703911
40.40863,-3.70078
40.399719994218344,-3.695536207497237
40.40847872416058,-3.713629503977934
40.40771,-3.70464
40.4171789,-3.7027786
40.39525,-3.66877
40.41992,-3.70052
40.40984001099384,-3.708916323829307
40.43166,-3.70577
40.378357169059086,-3.6273131963300305
40.403899215250405,-3.6115437349438126
40.41768006159201,-3.6173858533810064
40.38377,-3.6705
40.410303554726895,-3.6511913750050513
40.3707528,-3.6987377
40.45504574651467,-3.773340031816392
40.3859425,-3.7075743
40.420086,-3.6524254
40.38447165879013,-3.647908771162205
40.43095310472432,-3.609881774985325
40.42794,-3.6427
40.49945,-3.6508
40.43347,-3.64469
40.38109,-3.67054
40.39708204097495,-3.774118424292912
40.45724,-3.78462
40.42953182886696,-3.650688076399932
40.36746,-3.7097
40.49589841159781,-3.6133497960168746
40.36808,-3.76363
40.36465087722246,-3.61695019320504
40.47957,-3.70551
40.36769,-3.76395
40.340282108520455,-3.7095600899097447
40.47754,-3.7116
40.42735244999945,-3.648948222398758
40.40674,-3.73722
40.3520008,-3.6948537
40.4642787,-3.649709699999999
40.45393980047089,-3.597629469956515
40.42510709873133,-3.639605786483033
40.43082,-3.71749
40.42653,-3.71126
40.3961,-3.66187
40.40828,-3.70124
40.42315,-3.68705
40.39307,-3.67012
40.4125,-3.7077
40.4352,-3.61265
40.38725,-3.6703
40.41035,-3.63154
40.41242,-3.69589
40.42253,-3.65024
40.42246,-3.70373
40.3597201697091,-3.6965527385473256
40.40598,-3.69174
40.411863419,-3.701727796
40.48333,-3.67131
40.38573963737944,-3.6534229154823135
40.46274,-3.74824
40.37485,-3.73861
40.43003,-3.71688
40.46762382664447,-3.707265816628933
40.44768589422791,-3.717494156883283
40.45686,-3.6541
40.39038,-3.72543
40.430088586355,-3.647055939054248
40.44338,-3.56708
40.37968,-3.66157
40.49326700957442,-3.6943211521342785
40.4654554,-3.766139
40.42423,-3.61153
40.4777,-3.72847
40.3834489,-3.730483
40.4293091446375,-3.634718316347127
40.47415862825003,-3.7141676635044143
40.40859,-3.6808
40.3799,-3.69273
40.3984,-3.66963
40.40586,-3.67397
40.458875204579265,-3.680545737624029
40.43624,-3.64381
40.3940962,-3.7314697
40.37402609999999,-3.750201
40.403880123827456,-3.737908873224662
40.341183,-3.686848
