neighbourhood_group_cleansed,id,listing_url,name,host_id,host_name,calculated_host_listings_count,host_is_superhost,latitude,longitude,price,kitchen,patio or balcony,elevator,air conditioning,long_term,short_term,possible_long_term,number_of_reviews,review_scores_rating,room_type_encoded,bedrooms_encoded
Sants-Montjuïc,48266882,https://www.airbnb.com/rooms/48266882,Acogedor apartamento muy bien ubicado,7948539,David,1,f,41.373,2.13442,130.0,1,0,0,0,0,0,1,59,4.25,0,0
Sants-Montjuïc,48616107,https://www.airbnb.com/rooms/48616107,R0115- Hab. luminosa en Pole Sec,357946540,Enter,361,f,41.37339,2.16456,29.0,1,1,0,1,1,0,1,2,4.0,0,0
Les Corts,48275363,https://www.airbnb.com/rooms/48275363,Habitacion Matrimonial Hotel Arenas Atiram,373330392,Hotel Arenas Atiram,4,f,41.38932,2.12523,258.0,0,0,1,1,0,0,1,16,4.44,0,0
Sant Martí,48624452,https://www.airbnb.com/rooms/48624452,Habitación con Balcón exterior,110424849,Alejandra,1,f,41.41243931443408,2.196306158352271,40.0,1,0,1,0,0,0,1,0,0.0,0,0
Ciutat Vella,48275514,https://www.airbnb.com/rooms/48275514,CLASSBEDROOM GOTHIC RAMBLAS 2 APARTMENT,6099660,ClassBedroom,27,f,41.37929,2.17797,212.0,1,0,0,1,0,0,1,89,4.3,0,0
Eixample,48639912,https://www.airbnb.com/rooms/48639912,Apartamento Grandeluxe by Miró EnjoyBCN Apts,39328627,Enjoybcn,5,f,41.38520812988281,2.163209915161133,1060.0,1,1,1,1,0,0,1,61,4.87,0,1
Sarrià-Sant Gervasi,48275750,https://www.airbnb.com/rooms/48275750,"Pequeño, único, acogedor y sostenible   Barcelona",13194383,Patricia,2,f,41.40058,2.12062,181.0,1,1,0,1,0,0,1,5,5.0,0,0
Sant Martí,48643941,https://www.airbnb.com/rooms/48643941,Nice Apartment with SmartTV. Free parking area.,69849079,Dmitri,1,f,41.4227,2.20536,193.0,1,0,1,1,0,0,1,5,5.0,0,0
Horta-Guinardó,48648852,https://www.airbnb.com/rooms/48648852,Apartamento en barcelona ciudad,392452909,Jordi,1,f,41.43004,2.16333,170.0,1,1,0,1,0,0,1,63,4.71,0,1
Gràcia,48280224,https://www.airbnb.com/rooms/48280224,Sant Domenec 1ro 2da,86551441,Maria Soledad,32,f,41.39955,2.15578,203.0,1,1,0,1,0,0,1,19,4.0,0,1
Les Corts,48283609,https://www.airbnb.com/rooms/48283609,Unique Smart HomeOffice Penthouse 360° view Garden,31383221,Rajesh,2,t,41.39116,2.12652,157.0,1,1,0,1,1,0,1,0,0.0,0,1
Horta-Guinardó,48680313,https://www.airbnb.com/rooms/48680313,Habitación privada en zona exclusiva de Barcelona,57480262,Manuel,1,f,41.41664,2.17353,70.0,1,0,1,1,0,0,1,54,4.63,0,0
Ciutat Vella,48687394,https://www.airbnb.com/rooms/48687394,RAMBLAS TWO BEDROOM APARTMENT,383697,Anna,9,f,41.38566,2.16739,234.0,1,0,0,1,0,0,1,99,4.31,0,1
Sarrià-Sant Gervasi,48290703,https://www.airbnb.com/rooms/48290703,Blanc Guest House- Doble exterior baño compartido,385460765,Blanc,6,f,41.39652,2.15095,190.0,0,0,0,1,0,0,1,28,4.61,0,0
Sarrià-Sant Gervasi,48687838,https://www.airbnb.com/rooms/48687838,Apartamento tranquilo Lesseps,238503767,Apartamentos Sata Park Guell Area,4,f,41.40464,2.14796,164.0,1,0,0,0,1,0,1,5,5.0,0,0
Ciutat Vella,48715023,https://www.airbnb.com/rooms/48715023,BOQUERIA,47171261,Ezequiel,75,f,41.38172,2.17335,167.0,1,0,0,1,1,0,1,6,3.67,0,0
Sants-Montjuïc,48292590,https://www.airbnb.com/rooms/48292590,Hotel Brummell Double room with pool views,370689974,Hotel Brummell,2,t,41.37166,2.16642,256.0,0,0,0,1,0,0,1,25,4.88,0,0
Les Corts,48314014,https://www.airbnb.com/rooms/48314014,118. Futbol B21 Apartment,396363,Alcam Apartments,66,f,41.38084,2.12681,164.0,1,0,0,1,0,0,1,11,4.0,0,1
Eixample,48715762,https://www.airbnb.com/rooms/48715762,Very good location 2 Bedrooms,387595193,Standbyme,9,t,41.39022,2.15993,279.0,1,1,1,0,0,0,1,125,4.7,0,1
Gràcia,48316124,https://www.airbnb.com/rooms/48316124,Habitación doble baño privado Sagrada Família,386695668,Olga,4,f,41.40383,2.16763,25.0,1,0,0,0,0,0,1,5,4.8,0,0
Gràcia,48316428,https://www.airbnb.com/rooms/48316428,Habitación con baño dentro. Sagrada Família,386695668,Olga,4,f,41.40527,2.16905,20.0,1,0,0,0,0,0,1,8,4.75,0,0
