id,neighbourhood_group_cleansed,name,host_id,host_name,host_is_superhost,calculated_host_listings_count,latitude,longitude,kitchen,patio or balcony,elevator,air conditioning,number_of_reviews,review_scores_rating,room_type_encoded,bedrooms_encoded,price,price_category,distance_from_city_center,distance_category
223096,Sants-Montjuïc,2BR Apartment; loft style with patio,874133,Barbara,t,1,41.37364,2.13906,1,1,0,1,61,4.81,2,1,189.0,Economic,2.900933349595895,2-3 km
357576,Gràcia,"\Vintage Home \""\""El patio de Gracia\""\""\""",1809535,Silvia,t,1,41.40508,2.15491,1,1,0,1,434,4.9,2,1,223.0,Luxury,2.2735144908034917,2-3 km
234375,Eixample,ATTIC VIEWS  (Sagrada Familia),1227290,Francesca,f,1,41.39970016479492,2.1748878955841064,1,1,1,0,100,4.63,2,0,246.0,Luxury,1.4648427079705597,1-2 km
238703,Eixample,☆Comfy central Flat Sagrada Familia/Shared terrace,567180,Sandra,f,19,41.40653,2.1746,1,0,1,1,95,4.38,2,1,478.0,Luxury,2.185241415621266,2-3 km
239821,Sarrià-Sant Gervasi,APARTAMENT BCN MIRALL; in the best neighborhood,1257705,José Luis,f,5,41.39653,2.1442,1,0,0,1,54,4.13,2,1,225.0,Luxury,2.274551746561512,2-3 km
359841,Sant Martí,BacRou; design loft near the sea,1820272,Rosa,f,5,41.40502,2.20802,1,1,0,0,491,4.68,2,1,159.0,Economic,3.8276170064066113,3-5 km
360863,Ciutat Vella,SPECIAL OFFER @ COSY AND CHARMING,1824328,Umberto,t,2,41.38428,2.19576,1,0,0,1,32,4.73,1,0,167.0,Economic,2.2922748936593647,2-3 km
241614,Ciutat Vella,Bohemian Apartment With A Tune In Ramblas Area,1184485,Nacho,t,1,41.37918,2.17733,1,0,1,0,46,4.73,2,1,249.0,Luxury,1.1687264166322393,1-2 km
364030,Eixample,Beatiful Terrace in Bcn center  HUTB-OO1094,1839136,Mires,f,1,41.375553476091895,2.1625359295673867,1,1,1,1,413,4.67,2,1,192.0,Economic,1.411093122300631,1-2 km
252232,Sant Martí,Nice apartment in Barcelona,1298586,Kristjan & Ana,t,7,41.41626,2.20149,1,0,1,1,136,4.52,2,1,257.0,Luxury,4.221793391320516,3-5 km
253030,Sant Andreu,Double room with private bath and parking,1008598,Dana,f,1,41.41508,2.18857,1,0,1,1,2,4.5,1,0,94.0,Low-Cost,3.4996662712658293,3-5 km
365911,Eixample,Low-priced;Super Reviewed Apartment,1260560,Ralph,f,3,41.37911,2.15356,1,1,1,1,137,4.69,2,1,283.0,Luxury,1.5569901513619082,1-2 km
256354,Gràcia,room in cosy flat....,1348378,Lidia,f,2,41.413368225097656,2.1388769149780273,1,1,1,0,71,4.84,1,0,28.0,Low-Cost,3.8057870945628673,3-5 km
370665,Ciutat Vella,vig2 Right in El Born; old town; happy apartment!,1447144,Acomodis Apartments,f,207,41.38545,2.18117,1,1,0,1,3,4.67,2,1,380.0,Luxury,1.0708465280536104,1-2 km
256677,Ciutat Vella,Barcelona Center!The Gothic Area,1350468,Petrutz,f,1,41.3801,2.17693,0,0,0,0,246,4.54,1,0,73.0,Low-Cost,1.0685846411807693,1-2 km
373667,Ciutat Vella,mp2 An excellent apartment in El Born; old town,1447144,Acomodis Apartments,f,207,41.38148,2.18123,1,1,0,1,4,4.75,2,0,253.0,Luxury,1.2424221287222452,1-2 km
377161,Gràcia,Rustic apartment Parc Guell II,1444707,Jesus,f,2,41.41892,2.14871,1,1,0,1,606,4.64,2,1,160.0,Economic,3.877637424933298,3-5 km
256982,Ciutat Vella,Centric spacious nostalgic Room,1352184,Jasmin,f,1,41.38333,2.18095,1,1,0,0,137,4.64,1,0,86.0,Low-Cost,1.1253391838632207,1-2 km
265491,Ciutat Vella,Beach room amazing view in center,1392322,Kitty,f,1,41.37722,2.18944,1,1,1,0,163,4.52,1,0,95.0,Low-Cost,2.0747158360979037,2-3 km
384063,Eixample,nap2 Happy & Quiet 3 bedroom & 2 bathrooms flat!,1447144,Acomodis Apartments,f,207,41.39639,2.17641,1,1,1,1,9,3.75,2,1,536.0,Luxury,1.1932056515804559,1-2 km
267816,Ciutat Vella,Luxury Motor Yacht in Barcelona Port Forum,1404293,Sergio,f,1,41.37781,2.18445,1,0,0,1,35,4.5,2,1,167.0,Economic,1.6987669293629861,1-2 km
384464,Eixample,Paseo de Gracia / Plaza Catalunya,674212,Juanmi,t,5,41.38992,2.16974,1,0,1,1,229,4.97,2,0,800.0,Luxury,0.29591008519895134,<1 km
268017,Eixample,Sweet Inn | Charming 3BR near Casa Mila,1405013,Midtown,f,11,41.39268,2.17214,1,0,1,1,70,4.52,2,1,612.0,Luxury,0.6571956390011481,<1 km
385049,Ciutat Vella,MIRADOR 3 Bedroom Apartment Port Vell,3775349,Caterina,f,51,41.38203,2.18362,1,0,0,1,273,4.63,2,1,627.0,Luxury,1.3880869405266638,1-2 km
268022,Eixample,Sweet Inn | Luminous 3BR near Plaza Catalunya,1405013,Midtown,f,11,41.39184,2.17146,0,1,1,1,121,4.66,2,1,499.0,Luxury,0.5483325912502638,<1 km
477256,Sant Martí,Lightful apartment in Poblenou,2365702,David,t,2,41.40248,2.19668,1,0,1,0,296,4.65,1,0,81.0,Low-Cost,2.8806363957846073,2-3 km
393717,Ciutat Vella,Cosy apartment near Las Ramblas,1968590,Manel,t,1,41.3795,2.16568,1,0,1,1,441,4.48,2,1,152.0,Economic,0.9115947261173285,<1 km
480975,Sants-Montjuïc,Cozy loft with a big terrace!,2272146,Javi,f,1,41.37227,2.16574,1,0,0,1,0,0.0,1,0,189.0,Economic,1.6992176365743163,1-2 km
399772,Eixample,Rocafort nice & bright 3 stops away Pza Cataluña,1995385,Ana,t,3,41.38268,2.15044,1,1,1,0,151,4.86,2,1,179.0,Economic,1.6033798413972877,1-2 km
481739,Eixample,The Gaudi Suites II,2320210,Ale; Maria & Arthur,f,52,41.39776,2.16499,1,0,1,0,100,4.66,2,0,292.0,Luxury,1.1906894900709093,1-2 km
482801,Sants-Montjuïc,DOUBLE ROOM BARCELONA SANTS STATION,2143907,Daniel,f,3,41.37349,2.13213,1,1,0,0,31,4.67,1,0,50.0,Low-Cost,3.4133750850858235,3-5 km
402369,Ciutat Vella,ob41 Great 2 bedr flat close to Las Ramblas center,1447144,Acomodis Apartments,f,207,41.38035,2.17821,1,1,1,1,11,4.29,2,1,419.0,Luxury,1.1213154019205742,1-2 km
485222,Sants-Montjuïc,PRIVATE DOUBLE ROOM BARCELONA SANTS,2143907,Daniel,f,3,41.37811,2.12804,1,1,0,0,30,4.73,1,1,26.0,Low-Cost,3.5381062083085957,3-5 km
487233,Sants-Montjuïc,BOHEMIAN PENTHOUSE DUPLEX,6907539,Jud,t,12,41.37243,2.16542,1,1,0,0,290,4.96,2,0,260.0,Luxury,1.6856003925289786,1-2 km
408599,Sants-Montjuïc,A charming 3 bedroom apartment with balcony,2034854,Roger,f,1,41.37374,2.15852,1,1,1,1,566,4.64,2,1,227.0,Luxury,1.7362093909615404,1-2 km
490517,Gràcia,The Sagrada Penthouse,2320210,Ale; Maria & Arthur,f,52,41.40385,2.1691,1,1,1,1,87,4.23,2,1,299.0,Luxury,1.8296319685647782,1-2 km
490803,Eixample,Plaza Sagrada Familia apartment,2320210,Ale; Maria & Arthur,f,52,41.40347,2.17157,1,1,0,0,150,4.41,2,1,239.0,Luxury,1.8039944384716542,1-2 km
493122,Sant Martí,lightful apartment in poblenou,2365702,David,t,2,41.4016,2.19424,1,0,1,0,295,4.62,1,0,80.0,Low-Cost,2.6584775393301854,2-3 km
417239,Gràcia,Sunny apparment with terrace in Gracia,2074943,Kris,f,1,41.40413,2.15692,1,1,1,1,109,4.71,2,1,110.0,Economic,2.099975090496792,2-3 km
494834,Horta-Guinardó,Sant Pau Barcelona Suites,2320210,Ale; Maria & Arthur,f,52,41.41011,2.16976,1,0,1,1,88,4.16,2,0,241.0,Luxury,2.5270897280527933,2-3 km
424137,Ciutat Vella,Spacious apartment by Las Ramblas,2108468,Pau,t,8,41.37973,2.17458,1,1,0,1,186,4.7,2,1,421.0,Luxury,0.9880735107300339,<1 km
424294,Ciutat Vella,pdf3 TRENDY 1 BEDR. FLAT IN EL BORN,1447144,Acomodis Apartments,f,207,41.3884,2.17936,1,0,0,1,3,5.0,2,0,250.0,Luxury,0.9045039024087598,<1 km
503765,Eixample,Stay in the 2nd coolest street in the world,2484443,Jordi,t,1,41.39795,2.17166,1,1,1,1,191,4.91,2,1,320.0,Luxury,1.2005565029558456,1-2 km
425639,Sarrià-Sant Gervasi,House with garden,2116153,Victor/Paula,t,1,41.40864,2.14557,1,0,1,1,94,4.81,2,1,612.0,Luxury,3.0443526045018054,3-5 km
504657,Ciutat Vella,fdl6 Let's enjoy this nice apartment in the center,1447144,Acomodis Apartments,f,207,41.38467,2.18016,1,1,0,1,4,4.75,2,1,483.0,Luxury,1.0110571294456125,1-2 km
432482,Eixample,PENTHOUSE with private terrace PANORAMIC VIEW,898600,Andre,t,2,41.39144,2.16128,1,1,1,1,420,4.83,2,1,314.0,Luxury,0.7580888435151482,<1 km
507667,Eixample,Habitación cerca sagrada familia-2,2176121,Rosa María,f,2,41.39774,2.18218,1,0,1,0,86,4.91,1,0,60.0,Low-Cost,1.614067332405695,1-2 km
437886,Eixample,Centric Apartment in Barcelona 2,2004002,Xabier,f,2,41.39202,2.17246,1,1,0,0,284,4.79,1,0,37.0,Low-Cost,0.6062985558130046,<1 km
438102,Eixample,Nice quiet room close to S. Familia,2176121,Rosa María,f,2,41.39829,2.1812,1,0,1,0,116,4.8,1,0,45.0,Low-Cost,1.6034474984854263,1-2 km
508212,Eixample,Central Bcn Atic Apartment with private Terrace,2504689,Carolina,t,2,41.39161,2.15782,1,1,1,0,156,4.89,2,1,205.0,Luxury,1.0138380290052666,1-2 km
439057,Gràcia,Paseo de Gracia - Diagonal; 120 m2,2181314,Javier,f,1,41.40002,2.1579,1,1,0,1,380,4.64,2,1,145.0,Economic,1.6630857208839058,1-2 km
510923,Sant Andreu,Lovely Penthouse in Barcelona,2517389,Sara,f,2,41.42257,2.18047,1,0,1,1,32,4.59,2,1,140.0,Economic,4.034084987395924,3-5 km
443110,Eixample,Mercedes Heritage - 2 Bedroom Apartment,2201772,Mercedes Heritage,f,7,41.3879153,2.1522402,1,0,1,1,49,4.63,2,1,368.0,Luxury,1.3660084916015485,1-2 km
511739,Eixample,sfp1 Nice 2Bedr Acomodis Apartment Sagrada Familia,1447144,Acomodis Apartments,f,207,41.40376,2.17292,1,0,1,1,7,4.2,2,1,294.0,Luxury,1.8544958307100328,1-2 km
512368,Ciutat Vella,COZY & SUNNY ROOM,1687383,Morpheus Stays X JuanMi,t,2,41.3757,2.17101,1,0,1,0,36,4.82,1,1,19.0,Low-Cost,1.316427148897286,1-2 km
512666,Ciutat Vella,bcn-rentals-ramblas 4; just 7-10 min to Ramblas,488117,David Y Maria,t,6,41.37779,2.16729,1,1,1,1,68,4.69,2,1,360.0,Luxury,1.0741580092183558,1-2 km
443222,Eixample,2-bedroom Bright and Classic Sagrada Familia Flat,2202284,Johanna,f,20,41.40998,2.17553,1,0,1,0,190,4.65,2,1,192.0,Economic,2.5764598662636753,2-3 km
