part-00000-d38f1508-e7ff-486d-972c-feeebe182c7b-c000
neighbourhood_group_cleansed;id;listing_url;name;host_id;host_name;calculated_host_listings_count;host_is_superhost;latitude;longitude;price;kitchen;patio or balcony;elevator;air conditioning;long_term;short_term;possible_long_term;number_of_reviews;review_scores_rating;room_type_encoded;bedrooms_encoded;;
Centro;50164761;https://www.airbnb.com/rooms/50164761;Renovated apartment in Las Letras District;390770038;Rightplace;28;f;40.41559;-3.70179;144.0;1;0;1;1;0;0;1;0;0.0;2;1;;
Arganzuela;7273497;https://www.airbnb.com/rooms/7273497;Room in Malasaña;4903694;Henar;3;f;40.39695;-3.70418;141.0;1;0;1;0;0;1;0;0;0.0;1;0;;
Centro;13555382;https://www.airbnb.com/rooms/13555382;Apartamento Lavapies Calle Zurita 50m2;78069858;Javi;1;f;40.40821;-3.69914;157.0;1;0;0;0;0;0;1;1;5.0;2;0;;
Chamartín;27240518;https://www.airbnb.com/rooms/27240518;Sercotel Togumar - Superior Room;93872511;Apartamentos Sercotel Togumar;4;f;40.44279;-3.67163;129.0;0;0;1;1;0;0;1;1;5.0;1;0;;
Chamberí;13583091;https://www.airbnb.com/rooms/13583091;Habitación doble en Quevedo Madrid;78412962;María;1;f;40.43485;-3.70763;128.0;1;0;0;0;0;0;1;0;0.0;1;0;;
Centro;1131125744266521009;https://www.airbnb.com/rooms/1131125744266521009;Precioso Apartamento en Puerta del Sol;52529180;New;18;f;40.41267;-3.70595;190.0;1;0;0;1;0;0;1;0;0.0;2;1;;
Puente de Vallecas;13611167;https://www.airbnb.com/rooms/13611167;Charming & Cozy Flat, Sleeps 4!;3038578;Saviano;1;f;40.39845;-3.66835;112.0;1;0;1;1;0;0;1;16;4.81;2;0;;
Chamberí;13614692;https://www.airbnb.com/rooms/13614692;Habitación grande con Wifi y terraza;78820426;Alejandro;1;f;40.43769;-3.71001;128.0;1;0;1;0;0;0;1;0;0.0;1;0;;
Centro;1071549776720865466;https://www.airbnb.com/rooms/1071549776720865466;Bright & tidy room in friendly environment.;6792646;Verdolaga;1;f;40.409933636378774;-3.71261047043353;46.0;0;0;1;0;0;0;1;17;4.88;1;0;;
Carabanchel;34508810;https://www.airbnb.com/rooms/34508810;Comodidad;33775104;Deida Keith;2;f;40.3595;-3.76237;82.0;1;0;0;0;0;0;1;0;0.0;1;0;;
Centro;31559314;https://www.airbnb.com/rooms/31559314;Coqueta buhardilla en pleno centro;235622535;Leo;1;f;40.42469;-3.69714;157.0;1;0;0;1;0;1;0;3;4.67;1;0;;
Centro;26750759;https://www.airbnb.com/rooms/26750759;2 habitaciones,una individual y otra de matrimonio;199036370;H.Benavent E Hijos;25;f;40.42318;-3.71056;157.0;1;0;1;0;0;0;1;1;5.0;1;1;;
Centro;14243190;https://www.airbnb.com/rooms/14243190;Alquilo habitación centrica por semanas;86658727;Antonio;1;f;40.41269;-3.7066;157.0;1;0;1;0;0;0;1;0;0.0;1;0;;
Centro;996099998673286847;https://www.airbnb.com/rooms/996099998673286847;Apt Jacinto Benavente centro Madrid3;513092716;Rosa Erica;4;f;40.41312;-3.70305;156.0;0;0;0;0;0;0;1;0;0.0;1;0;;
Centro;910828493649807405;https://www.airbnb.com/rooms/910828493649807405;Mochilera;513299532;Éxito;4;f;40.41938150290845;-3.704377274759687;104.0;0;0;0;0;0;0;1;0;0.0;1;0;;
Centro;1025850411207859444;https://www.airbnb.com/rooms/1025850411207859444;Opera Suites - 12;50887257;Houxury;52;f;40.41816750673283;-3.7066135023388833;35.0;1;0;0;1;0;0;1;0;0.0;1;0;;
Usera;51385088;https://www.airbnb.com/rooms/51385088;Habitación individual confortable bien comunicada;179398522;Marisa;1;f;40.38526;-3.70119;74.0;1;0;0;1;0;0;1;0;0.0;1;0;;
Centro;22596984;https://www.airbnb.com/rooms/22596984;Apartamento coqueto,luminoso a 10min del centro;18532795;Cecilia;1;f;40.4115;-3.70487;103.0;1;1;0;0;0;0;1;0;0.0;2;1;;
Salamanca;13477810;https://www.airbnb.com/rooms/13477810;Comfy Room in Goya;55364006;Marta;1;f;40.42655;-3.6739;177.0;1;0;1;0;0;1;0;0;0.0;1;0;;
Centro;912144338351355322;https://www.airbnb.com/rooms/912144338351355322;Charming Latina Center;519552453;Rosa Ana;1;t;40.40965;-3.70656;65.0;1;0;0;1;0;0;1;28;4.71;2;0;;
Usera;27148755;https://www.airbnb.com/rooms/27148755;HabitaciónMadridRio;203087190;Andrea;1;f;40.3885;-3.70095;74.0;1;0;0;0;0;0;1;2;4.0;1;0;;
Centro;13909954;https://www.airbnb.com/rooms/13909954;Cielo de Madrid (Barrio de las letras);9383666;Tatiana;1;f;40.41178;-3.69535;157.0;1;1;0;1;0;1;0;0;0.0;2;0;;
Moncloa - Aravaca;27052530;https://www.airbnb.com/rooms/27052530;Habitación Azul;79453537;Lida;2;f;40.42847;-3.721;121.0;0;0;1;0;0;1;0;2;5.0;1;0;;
Centro;33675830;https://www.airbnb.com/rooms/33675830;Vivienda en pleno centro Madrid. 1 habitacion.;253819626;Diego;1;f;40.42937;-3.70719;157.0;1;0;1;1;0;1;0;7;4.86;2;0;;
Centro;13973118;https://www.airbnb.com/rooms/13973118;Lovely room in Chueca.;83323141;Irene;1;f;40.42154;-3.69782;157.0;1;0;1;0;0;0;1;3;4.67;1;0;;
Centro;1156565795285703508;https://www.airbnb.com/rooms/1156565795285703508;Calatrava-25 1izq H3;576464572;Maria Mercedes;166;f;40.40991029474215;-3.7111058644377697;17.0;1;0;0;0;0;0;1;0;0.0;1;0;;
Fuencarral - El Pardo;34592663;https://www.airbnb.com/rooms/34592663;Buhardilla especial Uefa Champions League;25927491;Pepe;3;f;40.47961;-3.73669;95.0;0;0;0;1;0;1;0;1;5.0;1;0;;
Arganzuela;32203833;https://www.airbnb.com/rooms/32203833;Habitación acojedora cerca del centro;35944176;Alejandro;1;f;40.40257;-3.69941;141.0;0;0;1;0;0;0;1;7;5.0;1;0;;
Arganzuela;31056305;https://www.airbnb.com/rooms/31056305;MADRID - Legazpi - Madrid Rio;59443360;Rodrigo;1;f;40.39326;-3.69834;141.0;1;0;1;1;0;1;0;1;5.0;2;1;;
Centro;45984124;https://www.airbnb.com/rooms/45984124;Seeing the Plaza del Campillo del Mundo Nuevo;5724924;Elizabeth;1;f;40.40671;-3.70879;236.0;1;0;0;1;0;0;1;120;4.48;2;1;;
Retiro;32636144;https://www.airbnb.com/rooms/32636144;Habitación doble luminosa. Cerca de museos.;139585523;Rosario;1;f;40.40153;-3.67593;122.0;0;0;1;0;0;1;0;1;5.0;1;0;;
Centro;53831276;https://www.airbnb.com/rooms/53831276;Spacious & Comfortable Flat In GRAN VIA-SOL;436046499;Christian;1;f;40.42064;-3.70355;205.0;1;0;0;0;0;0;1;4;4.25;2;1;;
San Blas - Canillejas;34862031;https://www.airbnb.com/rooms/34862031;Champions League`19;262820093;Paloma;1;f;40.42431;-3.59922;126.0;1;0;1;1;0;1;0;0;0.0;1;1;;
Centro;1120103932797470721;https://www.airbnb.com/rooms/1120103932797470721;Gran Vía II - Darya Living;487138580;Daniel;7;f;40.4194289896102;-3.7025615528798994;160.0;1;0;0;1;0;0;1;0;0.0;2;1;;
San Blas - Canillejas;34600032;https://www.airbnb.com/rooms/34600032;Wanda Metropolitano chic rooms;260948997;Kasia;1;f;40.43409;-3.60753;126.0;1;0;1;1;0;1;0;0;0.0;1;1;;
Centro;1046612149442981131;https://www.airbnb.com/rooms/1046612149442981131;Piso a estrenar en Madrid centro;47011675;Caterina;1;f;40.41250441135404;-3.7032697024164904;150.0;1;0;0;0;0;0;1;4;4.75;2;1;;
Chamartín;34075578;https://www.airbnb.com/rooms/34075578;Alojamiento TOP, habitaciones privadas;2668849;Sergio;2;f;40.44392;-3.67609;129.0;1;0;1;1;0;1;0;2;4.0;1;0;;
Centro;1166065162126724536;https://www.airbnb.com/rooms/1166065162126724536;Alójate en La Latina;580003963;Daniela;1;f;40.4099626;-3.7129106;80.0;1;0;0;1;0;1;0;0;0.0;1;0;;
Moncloa - Aravaca;34642115;https://www.airbnb.com/rooms/34642115;Private room with private bathroom;8864565;Susana;1;f;40.42146;-3.72075;121.0;1;0;1;1;0;0;1;13;5.0;1;0;;
Centro;26806152;https://www.airbnb.com/rooms/26806152;Room in Casa del Sol - Lavapiès / La Latina;6485951;Mathilde;2;t;40.40830983171852;-3.703603699954857;157.0;1;1;1;0;0;0;1;5;5.0;1;0;;
Centro;930237031188939318;https://www.airbnb.com/rooms/930237031188939318;Spacious apt on Calle Preciados;22321820;Vanrays;34;f;40.41785;-3.7036;170.0;1;1;1;1;0;0;1;9;4.56;2;1;;
Centro;1044121978734167373;https://www.airbnb.com/rooms/1044121978734167373;Feel the heart of Madrid;77736183;Johan;25;f;40.41335;-3.70674;29.0;1;0;0;0;0;1;0;20;4.5;1;0;;
Carabanchel;34432672;https://www.airbnb.com/rooms/34432672;Habitación. Para chicas con mesa de trabajo;259475388;Remata Kerly;1;f;40.38841;-3.74259;82.0;1;0;0;0;0;0;1;0;0.0;1;0;;
Centro;26342173;https://www.airbnb.com/rooms/26342173;2 Room Renovated Flat in Malasaña by ManteHouse;69224732;Leo Y Victor;11;t;40.42322;-3.70169;267.0;1;0;0;1;0;0;1;116;4.85;2;1;;
Centro;30820737;https://www.airbnb.com/rooms/30820737;Double bedroom in VERY CENTRAL apartment;10600017;Alberto;2;f;40.42108;-3.70237;157.0;1;0;1;0;0;0;1;56;4.91;1;0;;
Centro;784724309221950335;https://www.airbnb.com/rooms/784724309221950335;Plaza Casa.;901218;Myrko;49;f;40.41758;-3.70904;136.0;1;0;0;1;0;0;1;30;4.5;1;0;;
Chamberí;13072220;https://www.airbnb.com/rooms/13072220;Apartamento en Chamberí, el barrio más castizo;72464343;Natalia;1;f;40.43778;-3.69973;128.0;1;0;0;0;0;1;0;0;0.0;2;0;;
Carabanchel;13149669;https://www.airbnb.com/rooms/13149669;Room with views to Madrid Río;73347533;Santiago;1;f;40.39591;-3.70752;82.0;1;0;0;0;0;0;1;0;0.0;1;0;;
Ciudad Lineal;52813139;https://www.airbnb.com/rooms/52813139;Hermosa Habitación en calle Alcalá de Madrid;154897845;Nohely;1;f;40.43084;-3.65551;99.0;1;0;0;0;0;1;0;1;1.0;1;0;;
Vicálvaro;26638405;https://www.airbnb.com/rooms/26638405;Casa Nuria;77363713;Nuria;1;f;40.40045;-3.60579;66.0;1;0;0;0;0;0;1;0;0.0;1;0;;
Puente de Vallecas;618187838773241128;https://www.airbnb.com/rooms/618187838773241128;Hermoso aparta estudio;196041347;Angela;1;f;40.3871457;-3.6688401;112.0;1;0;0;1;0;1;0;2;5.0;2;0;;
Chamberí;19411126;https://www.airbnb.com/rooms/19411126;Comfortable and new bedroom in Chamberí;3113415;Pedro;3;f;40.4446;-3.70156;63.0;1;0;1;0;0;0;1;9;5.0;1;0;;
Retiro;919234614117616729;https://www.airbnb.com/rooms/919234614117616729;Apartamento lujo;18003146;Nadia;1;f;40.4158;-3.68114;166.0;1;0;0;1;1;0;1;0;0.0;2;0;;
Centro;593933772881493605;https://www.airbnb.com/rooms/593933772881493605;Great room in the heart of Madrid;447224268;Anais;2;f;40.41359;-3.70647;79.0;1;0;0;1;1;0;1;3;4.67;1;0;;
San Blas - Canillejas;35007673;https://www.airbnb.com/rooms/35007673;2 bedrooms 4-5 people champions near to wanda;250699072;Katherine;1;f;40.42575;-3.60548;126.0;1;0;1;0;0;0;1;0;0.0;1;1;;
Centro;1114966644246979720;https://www.airbnb.com/rooms/1114966644246979720;La Villa II;325540127;Madrent;52;f;40.41094;-3.7131;136.0;1;0;0;1;0;0;1;0;0.0;2;0;;
Hortaleza;35020477;https://www.airbnb.com/rooms/35020477;Habitación cercana al centro de Madrid.;100081686;Diego;1;f;40.48807;-3.66858;143.0;1;0;1;0;0;0;1;0;0.0;1;0;;
Carabanchel;35025485;https://www.airbnb.com/rooms/35025485;Habitación disponible 1 y 2 de junio 2019;59855841;Elsa;1;f;40.39021;-3.73513;82.0;0;0;0;0;0;1;0;0;0.0;1;0;;
Usera;624689655649696279;https://www.airbnb.com/rooms/624689655649696279;Tranquila y acogedora habitación a 30' del centro;47451792;Miguel Angel;1;f;40.36803;-3.68605;74.0;1;0;1;0;0;1;0;18;4.89;1;0;;
Barajas;35054497;https://www.airbnb.com/rooms/35054497;Champions League Final;264059698;Carmen Elena;1;f;40.47323;-3.57464;101.0;0;0;1;0;0;1;0;0;0.0;1;0;;
Hortaleza;31147472;https://www.airbnb.com/rooms/31147472;4 Elegante y Moderno apartamento.Piscina y Parking;91095901;Inversiones Los Leones Madrid;5;f;40.48629;-3.66793;143.0;1;1;1;1;0;0;1;11;4.91;2;1;;
Carabanchel;35253301;https://www.airbnb.com/rooms/35253301;Apartamento para la final de champions en Madrid;173403511;Mario;1;f;40.38611;-3.73069;82.0;1;0;0;1;0;1;0;0;0.0;2;1;;
San Blas - Canillejas;35256259;https://www.airbnb.com/rooms/35256259;Habitación cerca al Estadio La Peineta.;265414393;Ana Beatriz;1;f;40.42144;-3.61298;126.0;1;0;0;0;0;1;0;0;0.0;1;0;;
Centro;1157998011490311190;https://www.airbnb.com/rooms/1157998011490311190;Gran Vía con vistas;19770880;Marta;1;f;40.4209301;-3.707325299999999;91.0;1;0;0;1;0;1;0;2;5.0;2;0;;
Chamberí;629534713253592455;https://www.airbnb.com/rooms/629534713253592455;Azande - 3 bedrooms in Almagro;346367515;Ukio;290;f;40.43627;-3.70006;128.0;1;0;0;1;0;0;1;0;0.0;2;1;;
Centro;1160857074949063729;https://www.airbnb.com/rooms/1160857074949063729;Gran vía SOL: BIG FLAT 4 dorm grandes! 6 balconies;192373191;Alejandra;1;f;40.42133169520266;-3.7050060455886262;319.0;1;0;0;1;0;0;1;0;0.0;2;1;;
Centro;1032564587937198414;https://www.airbnb.com/rooms/1032564587937198414;Habitación doble estándar;67000475;Stepan;15;f;40.41853;-3.70313;161.0;0;0;1;1;0;0;1;0;0.0;1;0;;
Centro;17676506;https://www.airbnb.com/rooms/17676506;Casa completa. Buhardilla en Lavapiés.;70811133;Ana;1;f;40.40717;-3.70267;157.0;1;0;0;0;0;1;0;2;4.0;2;0;;
Arganzuela;18667319;https://www.airbnb.com/rooms/18667319;Habitación Madrid Centro, Atocha Room near Atocha;87730856;Dani;1;f;40.40091;-3.69928;141.0;1;0;1;1;0;0;1;1;5.0;1;0;;
Centro;41388931;https://www.airbnb.com/rooms/41388931;Hostal CC Malasaña - Doble Stándar. Baño privado - No Reembolsable;97780449;Francisco;5;f;40.42473;-3.70229;160.0;0;0;0;1;0;0;1;225;4.55;1;0;;
Centro;53581674;https://www.airbnb.com/rooms/53581674;BNBHolder Art Loft LA LATINA;28786243;Emilio;75;f;40.41091;-3.71009;157.0;1;0;0;1;0;0;1;80;4.79;2;1;;
Centro;1162059476417872189;https://www.airbnb.com/rooms/1162059476417872189;Hermoso Apartamento en Chueca;52529180;New;18;f;40.42322804629384;-3.7006991527223425;145.0;1;0;1;1;0;0;1;3;4.0;2;1;;
Usera;34615940;https://www.airbnb.com/rooms/34615940;Casa cercana al Wanda Metropolitano;261152232;Sebas;1;f;40.37748;-3.70406;74.0;1;0;1;1;0;0;1;0;0.0;1;0;;
Centro;53606347;https://www.airbnb.com/rooms/53606347;Hostal Sardinero - Doble Balcón 2 camas - Tarifa estandar;5895129;Leslie;5;f;40.41537;-3.69978;157.0;0;0;0;1;0;0;1;15;4.6;1;0;;
San Blas - Canillejas;34902845;https://www.airbnb.com/rooms/34902845;Room for rent for UEFA Champions League. 1 of June;263059459;John;1;f;40.42704;-3.61564;126.0;1;0;0;0;0;1;0;0;0.0;1;0;;
Tetuán;52140331;https://www.airbnb.com/rooms/52140331;Suite con entrada independiente;135165113;Home & Offices Rent;2;f;40.46488;-3.69289;146.0;0;0;0;1;0;1;0;27;4.59;1;0;;
Centro;756967474169278126;https://www.airbnb.com/rooms/756967474169278126;Apartment 800m from the Royal Palace;240432233;Carmen;1;f;40.40994;-3.71244;102.0;1;0;0;0;0;0;1;65;4.48;2;0;;
Tetuán;17471128;https://www.airbnb.com/rooms/17471128;Espectacular  apartamento  con vistas al Bernabeu;32849832;Imma;1;f;40.45285;-3.69617;146.0;1;0;0;1;0;0;1;0;0.0;2;1;;
Salamanca;35059019;https://www.airbnb.com/rooms/35059019;Habitación privada Salamanca-Madrid;148450840;Ana;2;f;40.4306;-3.68022;177.0;1;0;1;1;0;0;1;0;0.0;1;0;;
Centro;54375324;https://www.airbnb.com/rooms/54375324;Ático duplex sol en Madrid;437192002;Clarc;1;f;40.41276;-3.70512;200.0;1;0;0;1;0;0;1;0;0.0;2;1;;
Salamanca;631796347104453217;https://www.airbnb.com/rooms/631796347104453217;Habitacion exterior Calle Serrano Milla de Oro A/C;112271726;Mario;74;t;40.43601;-3.68717;177.0;1;0;1;1;0;0;1;0;0.0;1;0;;
Latina;52299005;https://www.airbnb.com/rooms/52299005;Habitación luminosa en Madrid Río;423143035;Elena;2;f;40.41534;-3.7237;70.0;1;0;1;0;0;1;0;0;0.0;1;0;;
Centro;53266533;https://www.airbnb.com/rooms/53266533;PLAZOLETA III;325540127;Madrent;52;f;40.41098;-3.71091;124.0;1;0;1;1;0;0;1;7;4.71;2;0;;
Carabanchel;35062332;https://www.airbnb.com/rooms/35062332;Habitación individual acogedora;13721963;Chris;1;f;40.38976;-3.71539;82.0;1;0;0;0;0;1;0;0;0.0;1;0;;
San Blas - Canillejas;34674202;https://www.airbnb.com/rooms/34674202;FINAL DE CHAMPION LIVERPOOL VS TOTENHAM;92331290;Raúl;1;f;40.42997;-3.60505;126.0;1;0;1;1;0;0;1;0;0.0;2;1;;
Centro;34673791;https://www.airbnb.com/rooms/34673791;Estudio La Latina;100654397;Matías;1;f;40.41223;-3.71599;157.0;1;0;1;1;0;0;1;3;4.67;2;0;;
Centro;54116731;https://www.airbnb.com/rooms/54116731;Moderno apartamento a un paso de Gran Vía;438702363;Maria;1;f;40.42229132389731;-3.7071408664687056;157.0;1;0;0;1;1;0;1;2;4.5;2;0;;
Tetuán;34696102;https://www.airbnb.com/rooms/34696102;Final Champions League;261717006;Julio;1;f;40.46333;-3.69433;146.0;1;0;1;0;0;0;1;0;0.0;2;0;;
Centro;32802493;https://www.airbnb.com/rooms/32802493;Centro de Madrid;246757382;Kati;3;f;40.42552;-3.70438;37.0;1;0;1;0;0;0;1;189;4.65;1;0;;
Centro;27355331;https://www.airbnb.com/rooms/27355331;Espaciosa habitación en pleno centro de Madrid.;126793582;Rocco;1;f;40.42007;-3.70817;157.0;1;0;0;0;0;1;0;2;5.0;1;0;;
Salamanca;34612904;https://www.airbnb.com/rooms/34612904;Room in Ventas,penthouse between Wanda & C. Centre;104786995;David;1;f;40.43074;-3.66172;177.0;1;0;1;0;0;1;0;0;0.0;1;0;;
Ciudad Lineal;27403123;https://www.airbnb.com/rooms/27403123;Apart. Liana;70554138;Ignacio;1;f;40.42419;-3.65574;99.0;1;0;0;0;0;1;0;0;0.0;2;1;;
Retiro;18024767;https://www.airbnb.com/rooms/18024767;Apartamento Acogedor.;91005550;Liley;1;f;40.39834;-3.66977;122.0;1;1;0;1;0;1;0;3;4.33;2;1;;
Arganzuela;34716848;https://www.airbnb.com/rooms/34716848;Nice apartment in Madrid city center;144736625;Ana;3;f;40.39269;-3.69515;141.0;1;0;0;1;0;0;1;1;4.0;2;1;;
Chamberí;54239968;https://www.airbnb.com/rooms/54239968;Sanggar - 3 bedrooms in Almagro;346367515;Ukio;290;f;40.4334879005739;-3.6915277600766343;128.0;1;1;1;1;0;0;1;0;0.0;2;1;;
Centro;53986670;https://www.airbnb.com/rooms/53986670;Su ¨Hogar lejos del hogar ¨;436008598;Norte Oviedo;2;f;40.42281;-3.69665;157.0;0;0;0;1;0;0;1;3;4.33;1;0;;
Centro;32538965;https://www.airbnb.com/rooms/32538965;Bonito apartamento luminoso y cómodo en el Rastro;52934917;Javier;1;f;40.40935;-3.70459;107.0;1;0;0;1;0;0;1;64;4.72;2;0;;
Latina;34717928;https://www.airbnb.com/rooms/34717928;Final Champions,  double room;261864609;Irene Y Nsalambi;1;f;40.40569;-3.74471;70.0;1;0;0;0;0;1;0;0;0.0;0;0;;
Arganzuela;34730250;https://www.airbnb.com/rooms/34730250;Loft en Madrid;87292124;Juanma;1;f;40.41217;-3.7184;141.0;1;0;0;1;0;0;1;0;0.0;2;0;;
Centro;18107706;https://www.airbnb.com/rooms/18107706;Chambre dans une colocation en plein centre;124730023;Julie;1;f;40.42526;-3.69769;157.0;1;0;1;0;0;1;0;1;5.0;1;0;;
Carabanchel;52463958;https://www.airbnb.com/rooms/52463958;LaDoñita3;136666217;Bette;4;f;40.39459;-3.7137;82.0;0;0;0;0;0;1;0;2;4.5;1;0;;
Centro;1082508992356663727;https://www.airbnb.com/rooms/1082508992356663727;Hostal las murallas - Matrimonial.;445871488;Maria Antonieta;10;f;40.422;-3.7024;175.0;0;0;0;1;0;0;1;0;0.0;1;0;;
Chamberí;685223634970316627;https://www.airbnb.com/rooms/685223634970316627;Blueground | Trafalgar, central Madrid;434208714;Blueground;202;f;40.4299267;-3.7047255;128.0;1;1;1;1;0;0;1;0;0.0;2;1;;
Centro;633763659113164989;https://www.airbnb.com/rooms/633763659113164989;SR 113 - Standard Apartment;183684887;Six Rooms;14;f;40.41086134356303;-3.702707591197096;157.0;1;0;1;1;0;0;1;17;4.47;1;0;;
Centro;901353003283732301;https://www.airbnb.com/rooms/901353003283732301;Coqueto apartamento en Madrid;51868399;Pablo;1;f;40.42860139466043;-3.704193718418084;157.0;1;0;0;1;1;0;1;0;0.0;2;0;;
Tetuán;904081316292771883;https://www.airbnb.com/rooms/904081316292771883;Luminosa habitación - Castellana;517657416;Judith;2;f;40.457291;-3.6923799;146.0;1;0;0;1;0;0;1;4;4.5;1;0;;
Tetuán;27363120;https://www.airbnb.com/rooms/27363120;Long Vacation in Madrid! Nice full apartment!!!;168513525;Herui;1;f;40.4663;-3.69943;146.0;1;0;0;1;0;0;1;7;4.57;2;0;;
Moncloa - Aravaca;706991377474375724;https://www.airbnb.com/rooms/706991377474375724;Apartamento para 4 personas. Sofá cama doble.;477796664;AngelitoMAD;7;f;40.42146;-3.71484;121.0;1;1;1;0;0;0;1;13;4.62;1;0;;
Chamberí;707014939855178270;https://www.airbnb.com/rooms/707014939855178270;Habitaciones larga estancia;477802758;Inmaculada;1;f;40.44144;-3.71575;128.0;1;0;0;1;1;0;1;0;0.0;1;1;;
Fuencarral - El Pardo;937991361443175064;https://www.airbnb.com/rooms/937991361443175064;Habitación Confor doble con baño privado;23441165;Andrea;32;f;40.4758283;-3.7295972;95.0;0;0;0;0;0;0;1;1;3.0;1;1;;
Centro;739031237616223747;https://www.airbnb.com/rooms/739031237616223747;Lovely apartment in central location;483822765;Morris;1;f;40.41607;-3.70122;157.0;1;0;0;0;0;0;1;0;0.0;1;0;;
Centro;938615406568264413;https://www.airbnb.com/rooms/938615406568264413;Apartamento pleno centro Madrid;526590179;Antonio;1;f;40.4214807;-3.6986842;157.0;1;0;0;1;0;0;1;4;3.0;2;1;;
Tetuán;940595949316958003;https://www.airbnb.com/rooms/940595949316958003;Habitacion de lujo terraza privada Castellana;112271726;Mario;74;t;40.46212;-3.69134;146.0;0;0;0;0;0;0;1;1;5.0;1;0;;
Centro;920109779967224140;https://www.airbnb.com/rooms/920109779967224140;Full apartment in lavapies;119451131;Jacopo;1;f;40.40917321695653;-3.703755560191442;157.0;1;0;0;1;0;0;1;1;1.0;2;0;;
Moratalaz;772858186559842449;https://www.airbnb.com/rooms/772858186559842449;Habitación confort Zona Retiro;192849323;Clelia;2;f;40.41565629999999;-3.6588998;72.0;1;0;0;1;0;0;1;57;4.74;1;0;;
Moncloa - Aravaca;795492717556591773;https://www.airbnb.com/rooms/795492717556591773;Blueground | Argüelles, amazing views;434208714;Blueground;202;f;40.4288343;-3.715584;121.0;1;0;1;1;0;0;1;0;0.0;2;1;;
Puente de Vallecas;813124551450444613;https://www.airbnb.com/rooms/813124551450444613;Habitación en Madrid;209874424;Carlos;3;t;40.38705718428769;-3.642459860668243;112.0;1;0;1;0;0;0;1;6;5.0;1;0;;
Chamberí;54239637;https://www.airbnb.com/rooms/54239637;Raja - 2 bedrooms apartment in Almagro;346367515;Ukio;290;f;40.43195;-3.70095;128.0;1;0;1;1;0;0;1;4;5.0;2;1;;
Centro;1065027872061639856;https://www.airbnb.com/rooms/1065027872061639856;CC Opera Suites Cuadruple 150+90+90 NR;555271147;Fran;5;f;40.41903;-3.70856;273.0;0;0;0;1;0;0;1;8;4.88;1;0;;
Arganzuela;922933255588182804;https://www.airbnb.com/rooms/922933255588182804;Habitación en el planetario;31574505;Carolina;2;f;40.39545198439665;-3.6841034767885623;141.0;1;0;0;1;0;0;1;5;5.0;1;0;;
Salamanca;45504264;https://www.airbnb.com/rooms/45504264;Central and cozy apartment;161832571;Yolanda;1;f;40.42771;-3.66422;177.0;1;0;1;1;0;1;0;2;5.0;2;0;;
Chamberí;34737871;https://www.airbnb.com/rooms/34737871;Madrid the best house final champions 3 rooms;261982013;Noemi;1;f;40.43449;-3.7008;128.0;1;0;1;0;0;0;1;0;0.0;2;1;;
Chamberí;838235366452792063;https://www.airbnb.com/rooms/838235366452792063;A Bright, Designer Attic with 2 bedrooms plus loft;503504843;Apartamento En Chamberí;2;f;40.42987332251301;-3.70189547237914;128.0;1;0;0;1;0;0;1;1;5.0;2;1;;
Centro;848901333545674799;https://www.airbnb.com/rooms/848901333545674799;Piso en malasaña;62496700;Javier;2;t;40.42227;-3.70212;157.0;1;0;0;0;0;0;1;4;5.0;2;0;;
Centro;857801080962852135;https://www.airbnb.com/rooms/857801080962852135;Cómoda Habitación, Madrid-Centro;503720474;Josmir;3;f;40.425579378305976;-3.702983048687188;157.0;1;0;0;0;0;1;0;0;0.0;1;0;;
Puente de Vallecas;45934601;https://www.airbnb.com/rooms/45934601;Habitación cama king;1556804;Sonia;1;f;40.39685;-3.66594;112.0;1;0;0;1;0;0;1;0;0.0;1;0;;
Salamanca;865897435454314182;https://www.airbnb.com/rooms/865897435454314182;Duplex acogedor con terrazas;108827356;Pablo;1;f;40.4357336;-3.6688812;177.0;1;0;0;1;0;0;1;3;4.67;2;1;;
Retiro;1009378959220580852;https://www.airbnb.com/rooms/1009378959220580852;Studio Retiro-Ibiza Ii;499192910;DomIVus;16;f;40.419789278975365;-3.678403341802277;92.0;0;1;1;0;0;0;1;22;4.73;2;0;;
Chamartín;811475529507400446;https://www.airbnb.com/rooms/811475529507400446;Blueground | Chamartín, nr Real Madrid Stadium;434208714;Blueground;202;f;40.45682;-3.67448;127.0;1;1;1;1;0;0;1;1;1.0;2;1;;
Centro;891045949214898982;https://www.airbnb.com/rooms/891045949214898982;Apartamento en centro de Madrid;512825154;Eloy;1;f;40.41559741656031;-3.707388310723377;157.0;1;0;0;1;0;1;0;0;0.0;2;0;;
Latina;891114979627484359;https://www.airbnb.com/rooms/891114979627484359;Amplia y luminosa habitación.;83784554;Romain;1;f;40.40094;-3.76091;70.0;1;1;0;0;0;0;1;5;5.0;1;0;;
Centro;898267879722973182;https://www.airbnb.com/rooms/898267879722973182;Piso en Barrio de las Letras;516049434;Fernando;1;f;40.41264;-3.69569;157.0;1;0;0;0;0;0;1;3;5.0;2;1;;
Puente de Vallecas;661477418896500829;https://www.airbnb.com/rooms/661477418896500829;Hermoso apartamento familiar en Madrid;435710389;Hildemaro;9;f;40.38745;-3.67041;112.0;1;0;0;0;0;1;0;9;5.0;2;1;;
