neighbourhood_group_cleansed,host_is_superhost,latitude,longitude,kitchen,patio or balcony,elevator,air conditioning,review_scores_rating,room_type_encoded,bedrooms_encoded,price,price_category,distance_from_city_center,distance_category
Latina,f,40.40549,-3.75199,1,0,1,0,0.0,1,0,70.0,Low-Cost,4.304457292295549,3-5 km
Latina,f,40.40929,-3.7369,1,0,0,0,0.0,1,0,70.0,Low-Cost,2.9593249736297818,2-3 km
Arganzuela,f,40.40116,-3.69692,1,0,0,0,0.0,1,0,18.0,Low-Cost,1.8144989299465153,1-2 km
Centro,f,40.40993,-3.70486,1,0,0,1,0.0,2,0,157.0,Luxury,0.7669026952682768,<1 km
Chamberí,f,40.43099728256296,-3.7031364187362543,0,0,0,0,4.42,1,0,66.0,Low-Cost,1.5866533041002968,1-2 km
Ciudad Lineal,f,40.42726,-3.64142,1,0,0,1,0.0,2,1,99.0,Economic,5.370748855111163,5-10 km
Salamanca,t,40.42301,-3.68187,1,0,0,1,4.87,2,1,593.0,Luxury,1.9470171366449824,1-2 km
Puente de Vallecas,f,40.39427,-3.6646,1,0,0,1,0.0,1,0,112.0,Economic,4.122599189511258,3-5 km
Fuencarral - El Pardo,f,40.47826,-3.71392,1,0,1,1,0.0,1,1,95.0,Economic,6.900271079518946,5-10 km
Carabanchel,f,40.39342,-3.70974,1,0,0,0,5.0,1,0,82.0,Low-Cost,2.64790514550478,2-3 km
Centro,f,40.41704052868044,-3.7026523055313,1,0,0,0,0.0,2,1,154.0,Luxury,0.06767227806567488,<1 km
Moncloa - Aravaca,f,40.43123,-3.72162,1,0,0,0,0.0,1,1,121.0,Economic,2.234863518350527,2-3 km
Centro,f,40.42762,-3.70964,1,0,0,1,4.43,2,0,122.0,Economic,1.3232843888620658,1-2 km
Chamberí,f,40.43556,-3.71378,1,0,1,1,5.0,1,0,128.0,Economic,2.272785605390267,2-3 km
Centro,f,40.4175479,-3.7039177,1,0,0,1,0.0,2,0,130.0,Economic,0.10340032700966446,<1 km
