neighbourhood_group_cleansed;id;listing_url;name;host_id;host_name;calculated_host_listings_count;host_is_superhost;latitude;longitude;price;kitchen;patio or balcony;elevator;air conditioning;long_term;short_term;possible_long_term;number_of_reviews;review_scores_rating;room_type_encoded;bedrooms_encoded
Centro;1168096820137451024;https://www.airbnb.com/rooms/1168096820137451024;M (pre3c) Apto. de diseño Puerta del Sol 9;450144376;Fernando;32;f;40.41796826191142;-3.7031798983473343;116.0;1;1;1;1;0;0;1;0;0.0;2;1
Moncloa - Aravaca;42247345;https://www.airbnb.com/rooms/42247345;Cabañas Generales - 3;335600214;Juan Maria;5;f;40.46256;-3.74836;102.0;0;0;0;0;0;0;1;0;0.0;1;1
Hortaleza;640268844465574518;https://www.airbnb.com/rooms/640268844465574518;Amplio y acogedor estudio con balcón Sanchinarro;330794542;Oshun;19;f;40.48727;-3.66434;92.0;1;1;1;1;0;0;1;22;4.18;2;0
Ciudad Lineal;889816058435529359;https://www.airbnb.com/rooms/889816058435529359;Habitación acogedora en Quintana;513812089;Raquel;11;f;40.4306399;-3.649905099999999;15.0;1;0;0;0;0;0;1;1;1.0;1;0
Chamberí;800543146118044077;https://www.airbnb.com/rooms/800543146118044077;M146 Apartment in Andres Mellado;471977881;Rodrigo;147;f;40.43373585739812;-3.714089870658128;75.0;1;0;0;0;0;0;1;0;0.0;2;1
San Blas - Canillejas;994155113777122145;https://www.airbnb.com/rooms/994155113777122145;Habitación cerca del aeropuerto;540176480;Gilberto;1;t;40.44841820000001;-3.6091764;30.0;1;0;0;0;0;0;1;43;4.81;1;0
Moratalaz;1168878539045109163;https://www.airbnb.com/rooms/1168878539045109163;alojamiento Vacacional;580403641;Rafael;1;f;40.40156600310507;-3.6460141361203617;55.0;1;0;0;1;0;0;1;0;0.0;1;0
Villaverde;39771607;https://www.airbnb.com/rooms/39771607;Habitacion privada;192023080;Patrick Raoul;2;f;40.34906;-3.68788;39.0;1;0;0;1;0;0;1;8;4.5;1;0
San Blas - Canillejas;992155554133485160;https://www.airbnb.com/rooms/992155554133485160;(1) Habitación privada Madrid;539582437;Josefina;1;f;40.433746542274974;-3.61811610199402;29.0;1;0;0;0;0;0;1;23;4.43;1;0
Ciudad Lineal;49765748;https://www.airbnb.com/rooms/49765748;Alojamiento luminoso y tranquilo;240461667;Gema;2;f;40.43764390566824;-3.6454802594527207;40.0;0;0;0;0;0;0;1;0;0.0;1;1
Centro;1026748127685945897;https://www.airbnb.com/rooms/1026748127685945897;Exclusive Retreat Colón Cibeles;25299828;Sherina;2;f;40.42338;-3.69498;108.0;1;0;0;1;0;0;1;19;4.89;2;0
Moncloa - Aravaca;33772621;https://www.airbnb.com/rooms/33772621;⭐️ GORGEOUS flat in Aravaca - Pozuelo ⭐️;104141426;Anyi & Christian;2;t;40.44742;-3.77827;190.0;1;0;1;1;1;0;1;0;0.0;2;1
Salamanca;834011019411078846;https://www.airbnb.com/rooms/834011019411078846;Habitación privada con cama doble en piso;443234326;Camilo Enrique;1;f;40.4268102;-3.6692616;60.0;1;0;1;0;0;0;1;21;4.95;1;0
Salamanca;1018590695953423715;https://www.airbnb.com/rooms/1018590695953423715;Cozy Oasis City Center;24546436;Miguel;2;f;40.42316105693702;-3.675309307873249;139.0;1;0;0;1;0;0;1;46;4.61;2;0
Salamanca;18067583;https://www.airbnb.com/rooms/18067583;BRIGHT & COZY - BARRIO SALAMANCA;124381557;Barbieri Real Estate;6;f;40.42864;-3.67681;169.0;1;0;1;1;0;0;1;164;4.54;2;0
Salamanca;1089747327148580304;https://www.airbnb.com/rooms/1089747327148580304;habitación familiar;561632717;Faber;1;f;40.42691065952853;-3.685536570847034;47.0;1;0;0;0;0;0;1;22;4.82;1;0
Retiro;1126624505582569188;https://www.airbnb.com/rooms/1126624505582569188;Elegante alojamiento céntrico de lujo en Madrid;567327895;Santiago;87;f;40.406220275303816;-3.668613690060663;40.0;1;0;0;0;0;0;1;0;0.0;1;0
Carabanchel;1081009229537006676;https://www.airbnb.com/rooms/1081009229537006676;Piso cerca a Madrid centro;351251472;Leidy;2;f;40.39295052452026;-3.710838581166021;120.0;1;0;0;0;0;0;1;1;5.0;2;0
Villaverde;917098747743753023;https://www.airbnb.com/rooms/917098747743753023;Espacioso silencioso y limpio;520787593;Mirella Mercedes;1;f;40.36083;-3.68678;35.0;1;0;0;0;0;0;1;2;4.5;1;0
Salamanca;973640747156798972;https://www.airbnb.com/rooms/973640747156798972;Wonderful Studio with Patio in Ventas MAD;26521943;Alice;17;f;40.42982392669342;-3.667203766488175;199.0;1;1;0;1;0;0;1;0;0.0;2;0
Arganzuela;20989468;https://www.airbnb.com/rooms/20989468;Habitación con dos camas en un piso en Delicias!;62427231;Francisco;1;f;40.39838;-3.69423;141.0;1;0;0;0;0;1;0;6;4.33;1;0
Centro;1169401386380248429;https://www.airbnb.com/rooms/1169401386380248429;"Cozy; bright flat in Museum Area";18916640;Florian;1;f;40.41229026418172;-3.695150753651359;150.0;1;0;0;0;0;0;1;0;0.0;2;0
Fuencarral - El Pardo;1004995290881105443;https://www.airbnb.com/rooms/1004995290881105443;1115€/mes Hab cama doble baño compartido.;47784023;Ana;3;f;40.47431;-3.73183;126.0;1;1;0;1;0;0;1;2;5.0;1;0
Fuencarral - El Pardo;1105111325707017163;https://www.airbnb.com/rooms/1105111325707017163;Lujoso Dúplex Completo el Pardo;18289909;Sergio;1;f;40.49671876779176;-3.692239218350152;111.0;1;0;0;1;0;0;1;15;4.53;2;0
Carabanchel;42082949;https://www.airbnb.com/rooms/42082949;H.02 Precioso apartamento con el Jardín;186289216;Nuria;11;f;40.37851;-3.74441;75.0;1;0;0;0;0;0;1;1;4.0;1;0
Fuencarral - El Pardo;1102938232720556592;https://www.airbnb.com/rooms/1102938232720556592;Cómodo apartamento;423009014;Mercedes;4;f;40.47629;-3.73036;69.0;1;0;0;0;0;0;1;6;4.67;2;0
Carabanchel;32657988;https://www.airbnb.com/rooms/32657988;MADRID RÍO- Green zone- Studio for 2;212366554;Genesis;3;f;40.39723;-3.71662;82.0;1;0;0;1;0;0;1;22;4.0;2;0
Ciudad Lineal;1126580049132168086;https://www.airbnb.com/rooms/1126580049132168086;Luxury accommodation in Madrid;567327895;Santiago;87;f;40.44449976152284;-3.64940785648824;39.0;1;0;0;1;0;0;1;0;0.0;1;0
Hortaleza;872235976829104144;https://www.airbnb.com/rooms/872235976829104144;17Apartmento con Preciosa Vista;91095901;Inversiones Los Leones Madrid;5;f;40.48575244081577;-3.6657920053980466;213.0;1;0;1;1;0;0;1;3;4.33;2;0
Centro;828186385624277397;https://www.airbnb.com/rooms/828186385624277397;Museos & Las Cortes - Familias 6 hab-6 baños;407492831;Lourdes Y Dani;1;f;40.414507927100075;-3.6963130681532226;719.0;1;0;0;1;0;0;1;24;4.88;2;1
Hortaleza;947587877238761905;https://www.airbnb.com/rooms/947587877238761905;Estudio-Loft con Terraza;424188777;Pascal;1;f;40.48850968495413;-3.671472072601319;65.0;1;0;0;0;0;0;1;12;4.25;2;0
